MSOA,Median_HP,Borough,Inner,Area,Political,Pop_Density,Aged_65Plus,OnePerson_HH,Born_UK,Owned,Unemployed,Obesity,Female_LE
E02000001,485000,City of London,Inner,Central,Other,2624,14.54,56.37,63.32,42.3,3.76,13.7,88.4
E02000002,182250,Barking and Dagenham,Outer,East,Labour,3170,16.15,30,76.15,46.4,11.77,29.8,80.1
E02000003,205500,Barking and Dagenham,Outer,East,Labour,4771,12.74,27.1,71.61,65.2,9.11,28.3,85.6
E02000004,205000,Barking and Dagenham,Outer,East,Labour,2530,15.93,26.27,85.6,72.8,9.29,26.9,80.7
E02000005,167000,Barking and Dagenham,Outer,East,Labour,7289,11.19,25.38,75.04,58.3,9.72,29.7,79.9
E02000007,172500,Barking and Dagenham,Outer,East,Labour,5229,11.39,30.92,75.74,40.1,13.09,29,79.5
E02000008,162000,Barking and Dagenham,Outer,East,Labour,8190,11.59,30.45,76.4,45.7,11.1,29.1,80.9
E02000009,172247.5,Barking and Dagenham,Outer,East,Labour,9227,8.99,27.93,71.07,45.9,11.12,27.6,83.8
E02000010,163000,Barking and Dagenham,Outer,East,Labour,7901,10.06,27.37,75.84,45.3,10.23,29.5,82
E02000011,171500,Barking and Dagenham,Outer,East,Labour,3960,13.88,25.12,74.59,66.5,8.61,29,77.1
E02000012,260000,Barking and Dagenham,Outer,East,Labour,7731,11.77,24.28,67.65,69.2,7.35,24.9,84.2
E02000013,172250,Barking and Dagenham,Outer,East,Labour,6494,10.54,27.46,75.14,46,9.88,30.3,80.6
E02000014,163000,Barking and Dagenham,Outer,East,Labour,7958,11.15,26.25,74.71,43.9,11,30.4,79.6
E02000015,130000,Barking and Dagenham,Outer,East,Labour,5632,10.16,35.96,72.84,30.9,13.93,30.9,81
E02000016,132500,Barking and Dagenham,Outer,East,Labour,9276,3.24,27.44,41.6,22.6,11.84,26.4,82.5
E02000017,210000,Barking and Dagenham,Outer,East,Labour,9962,8.55,21.77,49.51,56.9,9.04,24.5,86.2
E02000018,161000,Barking and Dagenham,Outer,East,Labour,6648,9.22,26.61,71.57,38.8,11.76,29,84.1
E02000019,165500,Barking and Dagenham,Outer,East,Labour,2796,9.5,23.99,72.14,46.3,10.34,30.5,80.8
E02000020,215000,Barking and Dagenham,Outer,East,Labour,2833,10.02,28.35,60.39,42.9,11.32,27,81.3
E02000021,160000,Barking and Dagenham,Outer,East,Labour,2854,10.17,26.55,66.64,53.9,9.58,30.5,78
E02000022,130000,Barking and Dagenham,Outer,East,Labour,11963,4.07,28.18,50.36,14.8,15.54,30.6,87.3
E02000023,165000,Barking and Dagenham,Outer,East,Labour,3737,5.69,30.07,63.41,29.5,13.15,30.2,83.5
E02006799,177000,Barking and Dagenham,Outer,East,Labour,8796,10.55,26.88,72.94,45.9,11.55,29.1,79
E02000024,380000,Barnet,Outer,North,Conservative,2778,17.39,29.81,78.76,74,4.51,17.4,85.1
E02000025,307500,Barnet,Outer,North,Conservative,3357,15.28,37.19,76.67,62.7,5.81,19.4,85
E02000026,342500,Barnet,Outer,North,Conservative,4401,16.46,27.48,75.27,76,5.17,19.2,87.6
E02000027,299975,Barnet,Outer,North,Conservative,5823,15.12,27.31,72.97,52.6,8.46,23.9,86.3
E02000028,369375,Barnet,Outer,North,Conservative,5953,15.82,25.52,74.57,71.7,5.01,18.6,84.4
E02000029,319000,Barnet,Outer,North,Conservative,5131,12.67,30,76.88,63.6,7,20.5,85.9
E02000030,675000,Barnet,Outer,North,Conservative,632,19.4,23.17,75.91,77.7,5.09,19.2,82.8
E02000031,441500,Barnet,Outer,North,Conservative,3844,19.29,26.98,66.4,67.4,4.38,17,84.1
E02000032,437000,Barnet,Outer,North,Conservative,5651,16.84,19.44,67.62,85.8,4.65,18.3,85.6
E02000033,305000,Barnet,Outer,North,Conservative,4882,13.48,28.16,70.45,66.8,8.21,22.1,82.4
E02000034,275000,Barnet,Outer,North,Conservative,5574,15.09,28.18,67.45,64.3,5.9,18.4,84.3
E02000035,327500,Barnet,Outer,North,Conservative,6276,16.18,34.07,58.36,55.6,5.49,15,83.2
E02000036,342500,Barnet,Outer,North,Conservative,6064,13.62,24.51,63.72,65.2,6.5,21.1,84.7
E02000037,299500,Barnet,Outer,North,Conservative,2315,14.86,20.28,66.73,65.3,6.2,19.7,88.3
E02000038,384000,Barnet,Outer,North,Conservative,6160,12.35,28.45,64.61,63.4,6.03,18.1,81.2
E02000039,331250,Barnet,Outer,North,Conservative,3157,14.61,23.78,68.85,72.9,4.03,16.2,88.4
E02000040,402550,Barnet,Outer,North,Conservative,1397,14.49,26.16,65.68,56.4,7.34,17.9,87.7
E02000041,300000,Barnet,Outer,North,Conservative,6784,13.8,24.58,57.55,60.4,6.12,18.7,83.2
E02000042,276500,Barnet,Outer,North,Conservative,9014,13.92,33.5,53.6,53,6,15.3,82
E02000043,527722,Barnet,Outer,North,Conservative,5330,14.06,18.75,58.63,71,4.74,14.8,83.9
E02000044,250000,Barnet,Outer,North,Conservative,7388,9.85,21.63,60.87,47.1,8.32,22.6,83.2
E02000045,245500,Barnet,Outer,North,Conservative,6031,9.18,31.02,63.88,50.2,7.66,20.6,83.2
E02000046,365260,Barnet,Outer,North,Conservative,7484,12.05,28.88,54.75,50.3,5.51,13.6,81.7
E02000047,234000,Barnet,Outer,North,Conservative,8090,10.19,25.97,50.79,40.8,8.73,23.9,82.6
E02000048,365000,Barnet,Outer,North,Conservative,3232,14.41,27.85,61.81,68.6,5.07,16,88.2
E02000049,237500,Barnet,Outer,North,Conservative,11027,7.13,27.01,53.15,19.4,11.53,26,88.1
E02000050,289500,Barnet,Outer,North,Conservative,4854,12.05,27.59,62.14,50.6,6.5,17.4,86.3
E02000051,435000,Barnet,Outer,North,Conservative,6086,17.75,31.72,57.29,58.7,5.33,14.1,87.4
E02000052,382500,Barnet,Outer,North,Conservative,10296,11.78,32.07,65.06,51.6,5.16,15.2,85.3
E02000053,261075,Barnet,Outer,North,Conservative,6026,7.96,31.57,42.82,43.2,6.49,19.2,83.6
E02000054,250000,Barnet,Outer,North,Conservative,4901,11.12,29.6,47.95,54,5.63,15.3,87.6
E02000055,357500,Barnet,Outer,North,Conservative,7920,13.21,28.74,48.97,45.8,5.27,15.1,83.6
E02000056,960000,Barnet,Outer,North,Conservative,2859,17.18,24.57,66.62,69.9,3.58,13,84.6
E02000057,365000,Barnet,Outer,North,Conservative,6924,11.78,21.06,55.79,54.9,6.36,15.3,84.3
E02000058,612500,Barnet,Outer,North,Conservative,5776,16.13,30.27,60.41,62.2,4.57,12.8,88.3
E02000059,246000,Barnet,Outer,North,Conservative,4842,10.65,30.63,45.36,45.5,7.95,20.7,84.4
E02000060,570000,Barnet,Outer,North,Conservative,9090,12.71,26.38,56.89,49.3,5.67,13.2,85.6
E02000061,889500,Barnet,Outer,North,Conservative,5181,14.4,30.36,49.13,50.8,5.28,12.2,83.5
E02000062,300000,Barnet,Outer,North,Conservative,3532,9.21,30.08,49.21,36.3,8.84,20.3,80.3
E02000063,320000,Barnet,Outer,North,Conservative,6895,11.41,27.41,43.85,53.5,7.93,16.4,84.8
E02000064,360000,Barnet,Outer,North,Conservative,8102,12.52,31.8,52.34,41.5,8.1,16.8,80.7
E02000065,149000,Bexley,Outer,East,Conservative,2480,5.38,25.77,59.74,51.1,10.78,28.6,79.5
E02000066,151500,Bexley,Outer,East,Conservative,6147,10.17,32.83,64.63,35.8,12.05,28.8,80.3
E02000067,145000,Bexley,Outer,East,Conservative,3881,11.05,32.79,77.43,57.8,8.3,27.5,84.9
E02000068,156000,Bexley,Outer,East,Conservative,3295,9,32.65,73.73,47.1,9.99,26.8,83
E02000069,176000,Bexley,Outer,East,Conservative,4289,17.77,29.9,82.69,70.8,6.5,25.9,84.2
E02000070,227000,Bexley,Outer,East,Conservative,4249,19.48,26.38,87.34,81.6,4.96,27,83.3
E02000071,187000,Bexley,Outer,East,Conservative,6277,13.68,23.29,89.63,76.9,5.52,27.8,84
E02000072,155500,Bexley,Outer,East,Conservative,2726,9.06,30.52,80.22,40.9,12.49,30.2,81.6
E02000073,250000,Bexley,Outer,East,Conservative,6685,18.02,20.54,88.89,89.2,4.44,26.3,86.9
E02000074,157000,Bexley,Outer,East,Conservative,6880,15.53,32.75,87.5,51.9,8.46,30.6,81.7
E02000075,250000,Bexley,Outer,East,Conservative,5158,22.28,23.49,90.89,88.2,3.84,26.4,83.6
E02000077,235000,Bexley,Outer,East,Conservative,7064,16.29,22.37,87.47,80.8,4.71,26.9,83.8
E02000078,207000,Bexley,Outer,East,Conservative,5213,16.94,22.99,92.62,86.6,4.18,28.1,82.9
E02000079,220000,Bexley,Outer,East,Conservative,4752,19.78,30.39,87.59,78.3,4.43,25.1,81.4
E02000080,236000,Bexley,Outer,East,Conservative,5534,17.5,25.26,85.47,81,5.85,25.4,84.8
E02000081,210000,Bexley,Outer,East,Conservative,3407,20.25,30.23,91.31,76.5,5.84,26.3,85.5
E02000082,237000,Bexley,Outer,East,Conservative,6004,16.14,22.2,89.83,89.8,4.43,28.7,84.7
E02000083,180000,Bexley,Outer,East,Conservative,2685,14.56,30.84,89.75,70.4,6.5,27.5,84.4
E02000084,249995,Bexley,Outer,East,Conservative,4080,18.83,25.02,89.86,86.1,4.3,25.2,86.1
E02000085,221000,Bexley,Outer,East,Conservative,4924,16.07,25.32,91.7,85,4.18,27.1,84.5
E02000086,249475,Bexley,Outer,East,Conservative,4986,16.52,21.12,92.52,89.9,3.75,27.7,85.1
E02000087,261000,Bexley,Outer,East,Conservative,2044,22.54,27.56,90.92,84.8,3.75,21.8,85.3
E02000088,254975,Bexley,Outer,East,Conservative,3876,19.32,21.75,91.88,88.9,3.57,25.9,83.9
E02000089,285000,Bexley,Outer,East,Conservative,5739,19.51,20.9,92.73,88.1,4.06,25.5,81.2
E02000090,210000,Bexley,Outer,East,Conservative,4907,21.23,38.24,89.57,70.9,4.63,21.8,81.3
E02000091,235000,Bexley,Outer,East,Conservative,3604,22.22,36.71,89.05,69.3,4.79,21.4,84.9
E02000092,203500,Bexley,Outer,East,Conservative,1105,16.25,31.96,89.42,55.1,7.44,26.5,81.6
E02006785,214000,Bexley,Outer,East,Conservative,4739,18.56,27.89,85.35,73.5,7.08,22.6,84.2
E02000093,319000,Brent,Outer,West,Labour,7897,13.36,19.25,43.1,63.8,6.28,21.2,82.8
E02000094,319950,Brent,Outer,West,Labour,7561,11.8,19.98,44.93,58.4,6.73,20.8,84.7
E02000095,379000,Brent,Outer,West,Labour,6371,14.64,19.96,40,59.9,7.73,20,85.4
E02000096,425000,Brent,Outer,West,Labour,4507,18.55,20.02,49.07,75.4,5.37,16.9,87.6
E02000097,310000,Brent,Outer,West,Labour,4812,13.21,21.7,45.08,63.1,7.25,22.8,88.1
E02000098,356800,Brent,Outer,West,Labour,4335,13.76,24.28,43.89,53.7,7.16,17.6,80.7
E02000099,310000,Brent,Outer,West,Labour,6721,10.54,19.91,42.66,51.8,7.04,18.2,87
E02000100,369950,Brent,Outer,West,Labour,4029,14.38,26.34,47.47,65.5,4.78,16,79.2
E02000101,232500,Brent,Outer,West,Labour,6757,12.01,28.41,43.53,37.5,9.56,21.3,81.3
E02000102,261250,Brent,Outer,West,Labour,5731,9.85,25,44.63,45.8,10.84,22.6,88.6
E02000103,287500,Brent,Outer,West,Labour,4948,12.32,25.25,46.58,47.4,9.33,21,87
E02000104,280000,Brent,Outer,West,Labour,6118,15.26,23.77,42.78,58.1,7.49,19,83.6
E02000105,210000,Brent,Outer,West,Labour,6891,10.13,23.42,40.07,49.4,7.38,20.6,85.8
E02000106,307000,Brent,Outer,West,Labour,7761,9.36,26.18,41.13,42,9.97,22.1,84.3
E02000107,321500,Brent,Outer,West,Labour,11555,8.35,31.07,45.04,35.9,7.64,16.4,83
E02000108,240000,Brent,Outer,West,Labour,8091,11.48,23.43,39.52,54.8,7.12,22.9,83.3
E02000109,245000,Brent,Outer,West,Labour,5189,10.72,23.65,38.26,47,8.31,24,84.8
E02000110,500000,Brent,Outer,West,Labour,10421,10.05,27.55,48.09,45.7,7.25,16.3,86.9
E02000111,260000,Brent,Outer,West,Labour,8926,10.38,19.42,33.68,50.8,6.83,22.5,83.5
E02000112,291500,Brent,Outer,West,Labour,7499,10.8,20.26,33.5,51.9,7.6,24.6,83.8
