crab.id,body.size,major.claw,minor.claw,claw.ratio,major.side,log_body.size,log_major.claw
12,4.85,5.05,1.9,2.66,Right,1.5789787049493917,1.6193882432872684
30,5.8,5.3,2.06,2.57,Right,1.7578579175523736,1.667706820558076
39,6,5.29,2.1,2.52,Right,1.791759469228055,1.665818245870208
34,6.15,6.41,2.25,2.85,Right,1.8164520818184267,1.8578592709325787
42,6.3,7.74,2.54,3.05,Left,1.840549633397487,2.046401687601636
4,6.35,6.83,2.3,2.97,Left,1.8484548129046001,1.9213246735826988
31,6.55,7.98,2.55,3.13,Right,1.8794650496471605,2.0769384114617173
16,6.65,6.27,2.34,2.68,Right,1.8946168546677629,1.8357763546448294
36,6.7,8.15,2.5,3.26,Right,1.9021075263969205,2.0980179272527715
47,6.7,6.87,2.29,3,Right,1.9021075263969205,1.927164106234258
10,6.8,8.51,2.45,3.47,Left,1.916922612182061,2.1412419425852827
48,6.8,7.28,2.31,3.15,Right,1.916922612182061,1.9851308622085946
37,6.85,8.66,2.56,3.38,Left,1.9242486522741338,2.1587147225743437
6,6.9,7.37,2.45,3.01,Right,1.9315214116032138,1.9974177062012453
11,6.95,8.28,2.53,3.27,Left,1.9387416595767009,2.1138429683971682
46,6.95,8.15,2.32,3.51,Left,1.9387416595767009,2.0980179272527715
38,7.1,8.83,2.38,3.71,Right,1.9600947840472698,2.178155014615869
18,7.2,8.06,2.81,2.87,Left,1.9740810260220096,2.086913556518537
24,7.25,8.39,3.2,2.62,Right,1.9810014688665833,2.127040520479115
45,7.3,8.38,2.44,3.43,Right,1.9878743481543455,2.125847914493992
20,7.35,8.7,2.74,3.18,Right,1.9947003132247452,2.163323025660538
21,7.35,8,3,2.67,Left,1.9947003132247452,2.0794415416798357
40,7.35,9.62,2.44,3.94,Right,1.9947003132247452,2.263844264677615
43,7.35,8.69,2.58,3.37,Left,1.9947003132247452,2.162172939277301
50,7.4,8.15,2.65,3.08,Left,2.0014800002101243,2.0980179272527715
41,7.45,8.96,2.76,3.25,Left,2.0082140323914683,2.192770226986839
35,7.5,9.82,2.87,3.42,Left,2.0149030205422647,2.2844211223663744
26,7.6,7.81,2.97,2.63,Left,2.028148247292285,2.0554049638515948
14,7.65,8.82,2.69,3.28,Left,2.0347056478384444,2.1770218700187
15,7.65,10.26,2.88,3.56,Left,2.0347056478384444,2.3282528397426234
44,8,11.11,2.69,4.13,Left,2.0794415416798357,2.4078456036515385
28,8.1,10.22,3.23,3.16,Right,2.0918640616783932,2.3243465847755584
7,8.3,9.98,2.93,3.41,Left,2.1162555148025524,2.300583090323373
13,8.35,11.37,2.93,3.88,Right,2.122261538862764,2.4309783077624445
17,8.35,12.02,3.36,3.58,Left,2.122261538862764,2.4865719291070616
29,8.85,10.31,3.14,3.28,Right,2.180417459019838,2.333114298028869
32,8.9,10.77,3.34,3.22,Left,2.186051276738094,2.3767644911682972
22,9,10.61,3.25,3.26,Left,2.1972245773362196,2.3617969526258915
23,9,12.32,3.29,3.74,Left,2.1972245773362196,2.511223958105374
49,9.35,11.62,3.44,3.38,Left,2.2353763433005955,2.4527277514237653
5,9.45,13.17,3.38,3.9,Right,2.2460147415056513,2.5779415157551897
3,9.55,14.6,3.57,4.09,Left,2.256541154492639,2.681021528714291
33,9.75,12.67,3.48,3.64,Left,2.277267285009756,2.5392369943330477
27,10.15,14.04,3.75,3.74,Left,2.3174737054877963,2.641910398597665
2,10.25,13.03,3.92,3.32,Right,2.327277705584417,2.567254391136754
9,10.45,14.06,3.76,3.74,Right,2.34660197841082,2.643333886382519
19,10.55,14.68,3.87,3.79,Left,2.3561258599220753,2.6864860231863696
1,11,14.75,3.96,3.72,Left,2.3978952727983707,2.691243082785829
8,11.3,16.47,4.13,3.99,Left,2.424802725718295,2.8015405441895487
